Species,Area, startbio, startbio,interbio[1], interbio[2], finalbio[1], finalbio[2],min(yr), max(yr), max(ct), ct[1], ct[nyr], length(r), exp(mean(log(r))),sd(log(r)), min(r), quantile005r,quantile025r, median(r), quantile075r,quantile095r, max(r), exp(mean(log(k))), sd(log(k)),min(k), quantile(k, quantile(k, mediank,quantilek75, quantilek95), maxk,expmeanlog(msy))), sd(log(msy)), min(msy),quantile05msy, quantilemsy25, median(msy),quantilemsy75, quantilemsyr95, max(msy)
Macroramphosus scolopax,"Pacific, Northwest",0.5,0.9,0,1,0.01,0.4,1950,2012,544,0,0,330,0.684980682,0.183636928,0.503346343,0.518266631,0.586302357,0.679019783,0.789898239,0.939320174,0.99998532,545.3341776,0.001401073,544.0482324,544.2057555,544.6819125,545.2843616,545.9879894,546.5886677,546.7583038,93.38584419,0.18336713,68.65462724,70.71428362,79.97734344,92.79220216,107.7646461,127.9916965,136.168147
Nemipterus randalli,Mediterranean and Black Sea,0.5,0.9,0,1,0.3,0.7,1950,2012,147,0,147,2509,0.817146194,0.145532658,0.540818738,0.621952531,0.738179782,0.838296266,0.925617988,0.986183464,0.999911546,489.5453211,0.066244882,406.9972432,431.4329188,466.9715368,496.4758713,517.5186314,532.3014585,535.7408903,100.007524,0.125255809,72.2352129,80.38248902,91.51794343,100.6345238,109.3670439,122.7143225,133.1174784
Caproidae,"Indian Ocean, Western",0.5,0.9,0,1,0.01,0.4,1950,2012,562,0,0,85,0.771173493,0.162781677,0.527980975,0.593086454,0.679241952,0.775843292,0.891331738,0.975159569,0.996784142,564.184857,0.000422777,563.6075196,563.6991211,564.0215941,564.2534199,564.3830347,564.4625401,564.5122633,108.7711018,0.162568597,74.50631369,83.68562453,95.86010286,109.4902685,125.6911162,137.5685662,140.5666184
Acanthuridae,"Pacific, Eastern Central",0.5,0.9,0,1,0.3,0.7,1950,2012,68,0,68,3092,0.814824127,0.147206,0.546904652,0.618015592,0.734432925,0.837851542,0.923497901,0.984758892,0.999819436,235.0476186,0.111943206,172.7208911,189.3287616,217.6501082,239.8792362,258.3037759,271.4644111,274.8716257,47.88061767,0.131478332,37.19589394,39.64392022,43.16192782,47.02461046,52.61890847,60.85354919,68.62154266
Diplodus argenteus,"Atlantic, Southwest",0.5,0.9,0,1,0.01,0.4,1950,2012,93,0,40,1621,0.746761929,0.149850564,0.541317341,0.590293311,0.663704939,0.742719316,0.837502039,0.958846183,0.998468625,168.5373327,0.091089789,138.3880014,144.5006842,156.5522757,169.9580278,182.5436396,191.5711351,194.1440229,31.46431589,0.073247773,26.18029406,27.69242931,29.7640323,31.70233998,33.27340401,35.15386258,36.5225598
Channichthys rhinoceratus,"Indian Ocean, Antarctic",0.5,0.9,0,1,0.01,0.4,1950,2012,129,0,42,926,0.636935581,0.086457764,0.504138816,0.544480118,0.599839842,0.644088642,0.682336119,0.72013129,0.749922411,202.6953322,0.014382281,194.685844,197.2456062,200.6775346,203.2559482,205.1398824,206.4808491,206.8249923,32.27596729,0.077783932,26.03159821,27.96442697,30.58975788,32.70062555,34.52253465,35.7002672,36.5399858
Centriscops humerosus,"Pacific, Southwest",0.5,0.9,0,1,0.01,0.4,1950,2012,95,0,24,480,0.699812111,0.161234645,0.540574971,0.567244326,0.612414535,0.681663909,0.787272034,0.937331009,0.997652666,249.0176063,0.104714369,195.4877991,204.9172799,231.0756853,254.3629384,272.1329748,283.1700273,286.4474767,43.56638418,0.058628638,38.5645911,39.80627111,41.64573771,43.30261003,45.53535656,48.17655473,48.86647684
Symphodus melops,"Atlantic, Northeast",0.5,0.9,0,1,0.3,0.7,1950,2012,231,0,225,2479,0.8203373,0.143750931,0.540888022,0.626824346,0.741189106,0.840030216,0.926813996,0.98723728,0.999863018,623.8210415,0.052025125,537.8039011,565.5437458,600.6236333,630.4601476,651.8567928,666.6894755,670.2050353,127.9359172,0.12510483,90.48255488,102.6625698,117.3711068,129.2785135,140.4279064,155.4626038,165.7850919
Coelorinchus chilensis,"Pacific, Southeast",0.5,0.9,0,1,0.3,0.7,1950,2012,156,0,136,2876,0.812669377,0.153571771,0.529562392,0.606643308,0.732386982,0.841140923,0.92334596,0.985727207,0.999615788,469.4084485,0.083795073,373.3787245,400.4945911,442.7885738,477.1576011,503.5641925,522.5259405,526.7036939,95.36846787,0.131760391,69.26755741,76.29575399,87.08895241,95.15751018,104.9454013,118.7727742,131.1713716
Isopisthus parvipinnis,"Atlantic, Southwest",0.5,0.9,0,1,0.3,0.7,1950,2012,131,0,93,2822,0.81534394,0.144098158,0.540933732,0.617952215,0.738757652,0.835684885,0.920021511,0.984091399,0.999962842,382.4063142,0.097970598,291.5990645,318.0673798,356.2038509,389.4845127,415.2669925,433.9466254,438.9268603,77.94816774,0.123811021,59.34487869,64.32459478,70.99996137,77.10205702,85.30576365,97.29588227,105.2415033
